adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genre_ids_str,movie_vector
False,/1RgPyOhN4DRs225BGTlHJqCudII.jpg,"[16, 28, 14, 53]",1311031,ja,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",766.0999,/sUsVimPdA1l162FvdBIlmKBlWHx.jpg,2025-07-18,Demon Slayer: Kimetsu no Yaiba Infinity Castle,False,7.677,286,"[16, 28, 14, 53]","[9, 6, 1, 0, 0, 2, 6, 2, 0, 7, 7.677]"
False,/iZLqwEwUViJdSkGVjePGhxYzbDb.jpg,"[878, 53]",755898,en,War of the Worlds,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",509.1105,/yvirUYrva23IudARHn3mMGVxWqM.jpg,2025-07-29,War of the Worlds,False,4.336,549,"[878, 53]","[5, 3, 0, -1, 5, 4, 3, 1, -1, 4, 4.336]"
False,/fq8gLtrz1ByW3KQ2IM3RMZEIjsQ.jpg,[27],1038392,en,The Conjuring: Last Rites,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,326.662,/29ES27icY5CzTcMhlz1H4SdQRod.jpg,2025-09-03,The Conjuring: Last Rites,False,6.603,370,[27],"[2, 1, 0, -1, 1, 3, 0, 0, -2, 0, 6.603]"
False,/wJ20rOZ1VgkCqv1jeOQB2Brny9k.jpg,"[27, 9648]",1078605,en,Weapons,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",318.0818,/cpf7vsRZ0MYRQcnLWteD5jK9ymT.jpg,2025-08-04,Weapons,False,7.388,1443,"[27, 9648]","[3, 1, 1, -1, 4, 5, 0, 0, -2, 0, 7.388]"
False,/mEW9XMgYDO6U0MJcIRqRuSwjzN5.jpg,"[28, 53]",1007734,en,Nobody 2,"Former assassin Hutch Mansell takes his family on a nostalgic vacation to a small-town theme park, only to be pulled back into violence when they clash with a corrupt operator, a crooked sheriff, and a ruthless crime boss.",291.5721,/svXVRoRSu6zzFtCzkRsjZS7Lqpd.jpg,2025-08-13,Nobody 2,False,7.25,581,"[28, 53]","[6, 4, -1, -1, 0, 3, 1, 0, -2, 3, 7.25]"
False,/eU7IfdWq8KQy0oNd4kKXS0QUR08.jpg,"[878, 12, 28]",1061474,en,Superman,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",233.0212,/wPLysNDLffQLOVebZQCbXJEv6E6.jpg,2025-07-09,Superman,False,7.502,3199,"[878, 12, 28]","[7, 4, -1, 0, 1, 1, 6, 1, 0, 8, 7.502]"
False,/or8y8JFF0vR3N9ap0Vdhf9tfTxQ.jpg,"[28, 80]",1028248,en,As Good as Dead,An ex-cop in self-imposed witness protection in Mexico becomes a target when a fight video of his apprentice goes viral.,223.2352,/qqQPxxRQqfLrq0ubfDQCwhJHZ91.jpg,2022-12-16,As Good as Dead,False,6.362,65,"[28, 80]","[4, 2, 0, -1, 0, 2, 1, 0, -2, 2, 6.362]"
False,/kzeBfhXMRWiykBsqoL3UbfaM0S.jpg,"[35, 28, 80]",1035259,en,The Naked Gun,Only one man has the particular set of skills... to lead Police Squad and save the world: Lt. Frank Drebin Jr.,193.4393,/rmwQ8GsdQ1M3LtemNWLErle2nBU.jpg,2025-07-30,The Naked Gun,False,6.694,697,"[35, 28, 80]","[5, 3, -1, 2, -1, 0, 1, 0, 0, 2, 6.694]"
False,/rzGHVq2BCMwjp93QaKYoLPSaSrp.jpg,"[28, 14, 12, 9648]",506763,zh,狄仁杰之四大天王,"Dee, the detective serving Chinese empress Wu Zetian, is called upon to investigate a series of strange events in Loyang, including the appearance of mysterious warriors wearing Chiyou ghost masks, foxes that speak human language and the pillar sculptures in the palace coming alive.",191.4668,/nZ3XTA5ZlGOj92jRBSYglW8r9QY.jpg,2018-07-27,Detective Dee: The Four Heavenly Kings,False,6.215,200,"[28, 14, 12, 9648]","[8, 4, 1, 0, 1, 2, 6, 1, 0, 8, 6.215]"
False,/mwI1OarF7BVWwn5O1Ng73UhyctP.jpg,"[27, 878, 53]",914215,en,Humane,"In the wake of an environmental collapse that has forced humanity to shed 20% of its population, a family dinner erupts into chaos when a father's plan to enlist in the government's new euthanasia program goes horribly awry.",177.9702,/ecOvKaoM1hwQbp0uTnULGrSV32e.jpg,2024-04-26,Humane,False,5.398,161,"[27, 878, 53]","[7, 4, 0, -2, 6, 7, 3, 1, -3, 4, 5.398]"
False,/JMlVj6X2F1PuDz9OyHShThzpa2.jpg,"[28, 80, 53]",1369679,en,Get Fast,"When The Thief’s partner is kidnapped after stealing millions in cash from a merciless drug lord named Nushi, he reluctantly teams up with an angst-ridden orphan to rescue him. Nushi enlists her most trusted hitman, The Cowboy, a lovable charmer who’s quick with his guns, to track down the Thief. Guns, cars, and explosions will give the newfound partners a head start, but how long will they be able to keep it up?",177.148,/tDpTR7xhHu9cz1X4JAIRFwXyf6U.jpg,2024-12-12,Get Fast,False,6.318,22,"[28, 80, 53]","[7, 4, 0, -2, 2, 5, 1, 0, -3, 3, 6.318]"
False,/ZtcGMc204JsNqfjS9lU6udRgpo.jpg,"[28, 18]",911430,en,F1,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,171.1139,/9PXZIUsSDh4alB80jheWX4fhZmy.jpg,2025-06-25,F1,False,7.827,2110,"[28, 18]","[3, 1, 2, 0, 0, 1, 1, 1, 0, 3, 7.827]"
False,/zNriRTr0kWwyaXPzdg1EIxf0BWk.jpg,"[878, 12, 28]",1234821,en,Jurassic World Rebirth,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",159.0512,/1RICxzeoNCAO5NpcRMIgg1XT6fm.jpg,2025-07-01,Jurassic World Rebirth,False,6.4,2120,"[878, 12, 28]","[7, 4, -1, 0, 1, 1, 6, 1, 0, 8, 6.4]"
False,/538U9snNc2fpnOmYXAPUh3zn31H.jpg,"[28, 12, 53]",575265,en,Mission: Impossible - The Final Reckoning,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",158.7828,/z53D72EAOxGRqdr7KXXWp9dJiDe.jpg,2025-05-17,Mission: Impossible - The Final Reckoning,False,7.288,1739,"[28, 12, 53]","[8, 5, -1, -1, 0, 3, 3, 0, -1, 6, 7.288]"
False,/w3Bi0wygeFQctn6AqFTwhGNXRwL.jpg,"[16, 35, 14, 10402]",803796,en,KPop Demon Hunters,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",150.7267,/22AouvwlhlXbe3nrFcjzL24bvWH.jpg,2025-06-20,KPop Demon Hunters,False,8.314,1435,"[16, 35, 14, 10402]","[4, 3, 2, 5, -1, -3, 5, 5, 5, 5, 8.314]"
False,/vHTFrcqJoCi1is3XN0PZe2LSnI2.jpg,"[14, 10751, 28, 12]",1087192,en,How to Train Your Dragon,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",149.1822,/q5pXRYTycaeW6dEgsCrd4mYPmxM.jpg,2025-06-06,How to Train Your Dragon,False,8.032,1919,"[14, 10751, 28, 12]","[7, 5, 1, 1, -2, -2, 7, 1, 3, 8, 8.032]"
False,/6nCy4OrV7gxhDc3lBSUxkNALPej.jpg,"[28, 36, 18, 12, 10752]",1051486,en,Stockholm Bloodbath,"In 1520, the notorious and power-hungry Danish King Christian II is determined to seize the Swedish crown from Sten Sture, no matter what it takes. Meanwhile, sisters Freja and Anne make a solemn promise to seek revenge on the men who brutally murdered their family. Everything comes to a head in the heart of Stockholm, where the sisters are drawn into a ruthless political struggle between Sweden and Denmark that culminates in a mass execution, presided over by the mad King ""Christian the Tyrant,"" known as the Stockholm Bloodbath.",148.8558,/tzXOB8nxO70SfSbOhrYcY94x6MI.jpg,2024-01-19,Stockholm Bloodbath,False,6.2,32,"[28, 36, 18, 12, 10752]","[7, 1, 7, 0, 3, 4, 5, 3, 1, 11, 6.2]"
False,/uBB1aMga5ngZxsUQL5k36zeW3pB.jpg,[27],1242011,en,Together,"With a move to the countryside already testing the limits of a couple's relationship, a supernatural encounter begins an extreme transformation of their love, their lives, and their flesh.",148.6383,/m52XidzKx94bKlToZfEXUnL3pdy.jpg,2025-07-28,Together,False,7.1,443,[27],"[2, 1, 0, -1, 1, 3, 0, 0, -2, 0, 7.1]"
False,/7FTOVQO3pndOuswVS3iNt3odVq5.jpg,[27],691363,fr,La Chose Derrière La Porte,"The story of Adèle, a youg woman who’s literally haunted by the death of her husband, killed in a trench during World War One. Desperate and unable to face this tragic loss, Adèle turns to black magic in the hope to bring her lover back. The miracle will happen, but Adèle will have to pay the price for opening this Pandora Box.",140.3619,/iFqHmF8ZSY9jOhstqeRxuzxPkFp.jpg,2023-01-16,The Thing Behind The Door,False,5.524,22,[27],"[2, 1, 0, -1, 1, 3, 0, 0, -2, 0, 5.524]"
False,/a6bItEVaxgphpMswho1wVRerv4r.jpg,"[28, 12, 53, 80]",7451,en,xXx,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",126.9544,/xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg,2002-08-09,xXx,False,5.962,4547,"[28, 12, 53, 80]","[9, 5, 0, -2, 2, 5, 3, 0, -2, 6, 5.962]"
False,/2nwhxEyefcIFKwOrSigiamoIzu2.jpg,"[28, 53, 18]",1119878,en,Ice Road: Vengeance,"Big rig ice road driver Mike McCann travels to Nepal to scatter his late brother’s ashes on Mt. Everest. While on a packed tour bus traversing the deadly 12,000 ft. terrain of the infamous Road to the Sky, McCann and his mountain guide encounter a group of mercenaries and must fight to save themselves, the busload of innocent travelers, and the local villagers’ homeland.",120.1731,/cQN9rZj06rXMVkk76UF1DfBAico.jpg,2025-06-27,Ice Road: Vengeance,False,6.461,384,"[28, 53, 18]","[6, 3, 2, -1, 2, 4, 1, 1, -1, 4, 6.461]"
False,/jvpkBenB6hv19WWYVlaiow8zklq.jpg,"[16, 10751, 35, 80, 12]",1175942,en,The Bad Guys 2,"The now-reformed Bad Guys are trying (very, very hard) to be good, but instead find themselves hijacked into a high-stakes, globe-trotting heist, masterminded by a new team of criminals they never saw coming: The Bad Girls.",118.4447,/26oSPnq0ct59l07QOXZKyzsiRtN.jpg,2025-07-24,The Bad Guys 2,False,7.8,382,"[16, 10751, 35, 80, 12]","[5, 4, 2, 4, 1, -3, 5, 1, 7, 4, 7.8]"
False,/xSD0q1FiuZkvHuy7uscOLbmd1hR.jpg,"[12, 28, 14]",13494,en,Red Sonja,A young girl rises from the ashes of tragedy to become the most feared warrior woman of all time: the She-Devil with a Sword.,157.4804,/iuN0GTmdn8pFzs4x0xTgoahwhDN.jpg,2025-07-31,Red Sonja,False,5.7,91,"[12, 28, 14]","[7, 4, 0, 0, -2, 0, 6, 1, 0, 8, 5.7]"
False,/s94NjfKkcSczZ1FembwmQZwsuwY.jpg,"[878, 12]",617126,en,The Fantastic 4: First Steps,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",115.8533,/x26MtUlwtWD26d0G0FXcppxCJio.jpg,2025-07-23,The Fantastic 4: First Steps,False,7.181,1231,"[878, 12]","[4, 2, 0, 0, 3, 1, 5, 1, 1, 6, 7.181]"
False,/i8QHgJKnsd8csNBo8fH9wYW2Y9E.jpg,"[10749, 35]",1321439,en,The Wrong Paris,"Dawn thinks she's joining a dating show in Paris, France, only to land in Paris, Texas. She has an exit plan — until sparks fly with the cowboy bachelor.",97.7568,/A0KRoR842OgNByCfw9iFHbWoeR9.jpg,2025-09-11,The Wrong Paris,False,6.718,108,"[10749, 35]","[1, 1, 2, 4, -1, -3, 0, 1, 4, 1, 6.718]"
False,/8jeDyvFQKgss36FbGAmGQVzPXlH.jpg,"[53, 28, 35]",1151334,en,Eenie Meanie,A former teenage getaway driver gets dragged back into her unsavory past when a former employer offers her a chance to save the life of her chronically unreliable ex-boyfriend.,100.5875,/12Va3oO3oYUdOd75zM57Nx1976a.jpg,2025-08-21,Eenie Meanie,False,6.381,193,"[53, 28, 35]","[7, 5, -2, 2, -1, 1, 1, 0, 0, 3, 6.381]"
